#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          1E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               22.7 C
#  Switchcard temperature:              23.6 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	7.80855E-06	1.00000E+00	1.16608E+04	7.98779E+01	-4.18782E+04	1.03309E+02	3.80042E+02	6.80161E-08
0.00000E+00	8.35603E-06	2.00000E+00	1.15624E+04	5.63748E+01	-4.19054E+04	8.85896E+01	3.79796E+02	1.95648E-08
0.00000E+00	8.36433E-06	3.00000E+00	1.18858E+04	3.37673E+01	-3.25223E+04	6.05294E+01	4.89372E+02	-2.47746E-08
0.00000E+00	8.05741E-06	4.00000E+00	1.29170E+04	8.80464E+00	-1.86187E+04	2.37649E+01	8.54810E+02	-1.07124E-07
0.00000E+00	7.60948E-06	5.00000E+00	1.30464E+04	1.96222E+01	-1.86392E+04	4.79259E+01	8.53874E+02	2.11043E-08
0.00000E+00	7.43526E-06	6.00000E+00	1.30468E+04	2.77679E+01	-1.86753E+04	4.78128E+01	8.52223E+02	-8.63888E-09
0.00000E+00	7.87492E-06	7.00000E+00	1.19798E+04	5.68766E+01	-3.26497E+04	9.92026E+01	4.87462E+02	1.29793E-07
0.00000E+00	7.90810E-06	8.00000E+00	1.17547E+04	4.71217E+01	-3.25973E+04	6.55093E+01	4.88246E+02	3.89336E-08
0.00000E+00	7.33573E-06	9.00000E+00	1.28802E+04	1.03596E+01	-1.87056E+04	2.12435E+01	8.50843E+02	-1.19074E-07
0.00000E+00	7.65095E-06	1.00000E+01	1.30319E+04	2.20042E+01	-1.85065E+04	4.27365E+01	8.59993E+02	2.33217E-08
0.00000E+00	7.45185E-06	1.10000E+01	1.33543E+04	2.41978E+01	-1.84326E+04	5.35340E+01	8.63444E+02	2.68614E-08
0.00000E+00	7.79196E-06	1.20000E+01	1.30045E+04	2.45274E+01	-1.84004E+04	5.23007E+01	8.64954E+02	7.10337E-09
0.00000E+00	7.86663E-06	1.30000E+01	1.29811E+04	2.42957E+01	-1.84911E+04	4.38598E+01	8.60709E+02	3.51957E-08
0.00000E+00	8.17355E-06	1.40000E+01	1.29511E+04	2.32480E+01	-1.86053E+04	4.66714E+01	8.55428E+02	3.60321E-08
0.00000E+00	8.73762E-06	1.50000E+01	1.18488E+04	6.59459E+01	-3.25750E+04	9.77502E+01	4.88579E+02	1.39422E-07
0.00000E+00	9.59203E-06	1.60000E+01	1.09940E+04	6.14159E+01	-4.11617E+04	8.64304E+01	3.86658E+02	5.92383E-08
0.00000E+00	8.43069E-06	1.70000E+01	1.28049E+04	4.14179E+00	-1.87702E+04	7.41350E+00	8.47913E+02	-6.50429E-08
0.00000E+00	8.71272E-06	1.80000E+01	1.29358E+04	1.88687E+01	-1.86748E+04	4.67508E+01	8.52244E+02	-3.11124E-09
0.00000E+00	9.26852E-06	1.90000E+01	1.29287E+04	2.02591E+01	-1.85370E+04	4.37837E+01	8.58581E+02	2.55702E-08
0.00000E+00	8.76250E-06	2.00000E+01	1.29738E+04	2.28899E+01	-1.83993E+04	4.85481E+01	8.65006E+02	1.79656E-08
0.00000E+00	9.73306E-06	2.10000E+01	1.33182E+04	2.54122E+01	-1.85884E+04	4.90274E+01	8.56208E+02	3.07086E-08
0.00000E+00	9.17726E-06	2.20000E+01	1.30420E+04	2.77026E+01	-1.83770E+04	5.86070E+01	8.66054E+02	6.32974E-09
0.00000E+00	9.32659E-06	2.30000E+01	1.30130E+04	2.61162E+01	-1.83858E+04	5.32686E+01	8.65642E+02	3.31584E-08
0.00000E+00	8.76250E-06	2.40000E+01	1.29866E+04	2.70640E+01	-1.84865E+04	5.48366E+01	8.60927E+02	-1.67777E-08
0.00000E+00	7.46843E-06	2.50000E+01	1.28800E+04	2.39113E+01	-1.86009E+04	5.08552E+01	8.55628E+02	3.92232E-08
0.00000E+00	8.67125E-06	2.60000E+01	1.10810E+04	7.11463E+01	-4.18896E+04	9.54067E+01	3.79939E+02	1.76196E-07
0.00000E+00	8.43900E-06	2.70000E+01	1.09771E+04	4.62996E+01	-4.12485E+04	8.13835E+01	3.85845E+02	3.88015E-08
0.00000E+00	8.89522E-06	2.80000E+01	1.28400E+04	7.77920E+00	-1.87584E+04	1.72129E+01	8.48448E+02	-1.11250E-07
0.00000E+00	8.18185E-06	2.90000E+01	1.29173E+04	2.44715E+01	-1.85698E+04	5.50047E+01	8.57064E+02	3.71270E-08
0.00000E+00	7.99934E-06	3.00000E+01	1.29125E+04	2.72118E+01	-1.84632E+04	5.13216E+01	8.62013E+02	4.95639E-09
0.00000E+00	8.65466E-06	3.10000E+01	1.30120E+04	2.11931E+01	-1.85202E+04	4.62730E+01	8.59360E+02	-5.25985E-09
0.00000E+00	8.85375E-06	3.20000E+01	1.29841E+04	2.03516E+01	-1.82117E+04	4.64237E+01	8.73916E+02	2.75446E-08
0.00000E+00	8.69614E-06	3.30000E+01	1.30182E+04	2.44607E+01	-1.82568E+04	5.11595E+01	8.71757E+02	-1.02733E-08
0.00000E+00	8.72102E-06	3.40000E+01	1.30031E+04	2.91899E+01	-1.83117E+04	5.63686E+01	8.69142E+02	1.54496E-09
0.00000E+00	9.09432E-06	3.50000E+01	1.29812E+04	2.65840E+01	-1.84253E+04	5.31257E+01	8.63785E+02	-2.68070E-09
0.00000E+00	9.15238E-06	3.60000E+01	1.29403E+04	2.25844E+01	-1.85318E+04	4.87136E+01	8.58819E+02	3.85569E-08
0.00000E+00	8.33115E-06	3.70000E+01	1.28855E+04	2.50805E+01	-1.84789E+04	5.39744E+01	8.61281E+02	3.32180E-08
0.00000E+00	8.10718E-06	3.80000E+01	1.11353E+04	6.36075E+01	-4.16125E+04	1.08887E+02	3.82469E+02	1.67095E-07
0.00000E+00	8.00765E-06	3.90000E+01	1.27361E+04	7.30956E+00	-1.87844E+04	1.38244E+01	8.47273E+02	-5.27336E-08
0.00000E+00	8.57170E-06	4.00000E+01	1.28788E+04	2.01106E+01	-1.84557E+04	4.40657E+01	8.62361E+02	3.37424E-08
0.00000E+00	8.18184E-06	4.10000E+01	1.29888E+04	2.38304E+01	-1.85170E+04	4.61327E+01	8.59505E+02	3.95483E-08
0.00000E+00	8.96988E-06	4.20000E+01	1.29505E+04	2.37742E+01	-1.83210E+04	4.76778E+01	8.68702E+02	3.44918E-08
0.00000E+00	9.02796E-06	4.30000E+01	1.29407E+04	2.19227E+01	-1.82147E+04	4.69057E+01	8.73771E+02	2.76189E-08
0.00000E+00	9.01967E-06	4.40000E+01	1.26867E+04	3.26107E+01	-2.08926E+04	5.68546E+01	7.61777E+02	5.19095E-08
0.00000E+00	8.30626E-06	4.50000E+01	1.30323E+04	2.03142E+01	-1.83809E+04	4.26381E+01	8.65869E+02	-1.00698E-08
0.00000E+00	8.91183E-06	4.60000E+01	1.29911E+04	2.42336E+01	-1.82386E+04	5.21677E+01	8.72628E+02	1.09545E-09
0.00000E+00	8.28137E-06	4.70000E+01	1.29350E+04	2.31526E+01	-1.83502E+04	5.14112E+01	8.67321E+02	2.55599E-08
0.00000E+00	8.32286E-06	4.80000E+01	1.29129E+04	2.41886E+01	-1.83659E+04	5.55116E+01	8.66578E+02	3.57103E-08
0.00000E+00	8.64638E-06	4.90000E+01	1.28606E+04	2.76970E+01	-1.84692E+04	4.90278E+01	8.61734E+02	8.05912E-09
0.00000E+00	8.55512E-06	5.00000E+01	1.22897E+04	4.53144E+01	-3.21054E+04	7.55906E+01	4.95726E+02	1.34993E-07
0.00000E+00	8.01594E-06	5.10000E+01	1.31872E+04	1.31271E+01	-1.86457E+04	2.18845E+01	8.53576E+02	-7.62862E-08
0.00000E+00	8.67128E-06	5.20000E+01	1.28673E+04	2.06102E+01	-1.83187E+04	5.03872E+01	8.68809E+02	2.51518E-08
0.00000E+00	9.10264E-06	5.30000E+01	1.30652E+04	2.55785E+01	-1.82951E+04	5.50394E+01	8.69932E+02	-6.04989E-09
0.00000E+00	8.49706E-06	5.40000E+01	1.30444E+04	2.32567E+01	-1.83334E+04	4.77339E+01	8.68117E+02	3.56271E-08
0.00000E+00	9.19386E-06	5.50000E+01	1.29915E+04	2.09546E+01	-1.81190E+04	4.87406E+01	8.78386E+02	1.63429E-08
0.00000E+00	9.39298E-06	5.60000E+01	1.30690E+04	2.32184E+01	-1.80580E+04	4.82664E+01	8.81355E+02	-5.12859E-09
0.00000E+00	8.67958E-06	5.70000E+01	1.30005E+04	2.02426E+01	-1.83491E+04	5.15598E+01	8.67370E+02	3.96131E-08
0.00000E+00	9.16070E-06	5.80000E+01	1.29652E+04	2.92033E+01	-1.81972E+04	5.19346E+01	8.74614E+02	-9.93573E-09
0.00000E+00	9.31831E-06	5.90000E+01	1.29362E+04	2.53755E+01	-1.82882E+04	5.48774E+01	8.70258E+02	3.82449E-08
0.00000E+00	1.00068E-05	6.00000E+01	1.28742E+04	2.78085E+01	-1.83214E+04	5.34537E+01	8.68683E+02	3.76608E-08
0.00000E+00	1.09857E-05	6.10000E+01	1.17317E+04	5.80530E+01	-3.19366E+04	8.93047E+01	4.98347E+02	9.28778E-08
0.00000E+00	9.99854E-06	6.20000E+01	1.27271E+04	8.85316E+00	-1.87261E+04	2.22264E+01	8.49911E+02	-9.88953E-08
0.00000E+00	1.01064E-05	6.30000E+01	1.28482E+04	2.33389E+01	-1.84794E+04	4.51966E+01	8.61257E+02	-7.12408E-09
0.00000E+00	1.01644E-05	6.40000E+01	1.29249E+04	1.79574E+01	-1.83764E+04	4.03366E+01	8.66082E+02	3.97913E-08
0.00000E+00	9.23534E-06	6.50000E+01	1.29153E+04	2.08577E+01	-1.82965E+04	3.67955E+01	8.69867E+02	3.80058E-08
0.00000E+00	8.74592E-06	6.60000E+01	1.29499E+04	2.13679E+01	-1.80826E+04	4.61105E+01	8.80153E+02	4.28804E-08
0.00000E+00	9.71648E-06	6.70000E+01	1.30296E+04	2.17015E+01	-1.79839E+04	5.17634E+01	8.84985E+02	3.32546E-09
0.00000E+00	9.07772E-06	6.80000E+01	1.30435E+04	2.32534E+01	-1.82315E+04	4.71947E+01	8.72965E+02	1.02853E-08
0.00000E+00	8.09889E-06	6.90000E+01	1.29590E+04	2.72897E+01	-1.81759E+04	5.27164E+01	8.75637E+02	-6.84328E-09
0.00000E+00	8.44728E-06	7.00000E+01	1.29377E+04	2.53087E+01	-1.82633E+04	4.58239E+01	8.71446E+02	3.21747E-08
0.00000E+00	8.67126E-06	7.10000E+01	1.29034E+04	2.41382E+01	-1.83222E+04	5.00662E+01	8.68643E+02	2.31208E-08
0.00000E+00	9.11920E-06	7.20000E+01	1.29066E+04	2.61698E+01	-1.84194E+04	5.35058E+01	8.64060E+02	3.42121E-08
0.00000E+00	9.06112E-06	7.30000E+01	1.15272E+04	5.87520E+01	-3.19995E+04	8.00293E+01	4.97367E+02	1.60968E-07
0.00000E+00	9.50079E-06	7.40000E+01	1.27388E+04	1.05468E+01	-1.89139E+04	1.69463E+01	8.41469E+02	-6.83625E-08
0.00000E+00	9.12754E-06	7.50000E+01	1.27349E+04	2.04837E+01	-1.88523E+04	3.77214E+01	8.44219E+02	5.90881E-08
0.00000E+00	8.95330E-06	7.60000E+01	1.30496E+04	1.58868E+01	-1.87381E+04	3.81510E+01	8.49365E+02	3.67834E-08
0.00000E+00	1.02557E-05	7.70000E+01	1.28997E+04	1.63990E+01	-1.86856E+04	4.09836E+01	8.51753E+02	5.39110E-08
0.00000E+00	1.00151E-05	7.80000E+01	1.28831E+04	1.72807E+01	-1.85700E+04	3.53582E+01	8.57055E+02	4.56565E-08
0.00000E+00	9.05285E-06	7.90000E+01	1.30483E+04	1.97460E+01	-1.81977E+04	4.05604E+01	8.74586E+02	1.62860E-08
0.00000E+00	9.51740E-06	8.00000E+01	1.29412E+04	2.30608E+01	-1.82273E+04	4.36545E+01	8.73168E+02	3.11895E-08
0.00000E+00	8.67127E-06	8.10000E+01	1.29513E+04	2.02141E+01	-1.82711E+04	4.42241E+01	8.71073E+02	1.22961E-08
0.00000E+00	8.46390E-06	8.20000E+01	1.28541E+04	2.30335E+01	-1.83455E+04	4.63809E+01	8.67542E+02	4.80848E-08
0.00000E+00	9.69991E-06	8.30000E+01	1.27974E+04	2.26777E+01	-1.83663E+04	4.63114E+01	8.66559E+02	-3.60937E-09
0.00000E+00	9.89898E-06	8.40000E+01	1.16621E+04	5.23779E+01	-3.17069E+04	9.30773E+01	5.01956E+02	1.03360E-07
0.00000E+00	8.97823E-06	8.50000E+01	1.26484E+04	1.08664E+01	-1.89716E+04	2.44337E+01	8.38911E+02	-2.22323E-08
0.00000E+00	8.88695E-06	8.60000E+01	1.26566E+04	1.82267E+01	-1.89388E+04	3.71769E+01	8.40364E+02	2.87090E-08
0.00000E+00	9.16071E-06	8.70000E+01	1.27055E+04	1.52787E+01	-1.88572E+04	3.34560E+01	8.44002E+02	5.74126E-08
0.00000E+00	9.86580E-06	8.80000E+01	1.28313E+04	1.65579E+01	-1.88417E+04	4.12810E+01	8.44697E+02	5.18440E-08
0.00000E+00	9.32662E-06	8.90000E+01	1.28141E+04	1.66392E+01	-1.87614E+04	3.27441E+01	8.48312E+02	5.09018E-08
0.00000E+00	9.88242E-06	9.00000E+01	1.28483E+04	1.78206E+01	-1.85466E+04	3.66829E+01	8.58134E+02	2.27525E-09
0.00000E+00	9.05288E-06	9.10000E+01	1.30176E+04	1.87236E+01	-1.81723E+04	4.14158E+01	8.75811E+02	-1.33237E-08
