#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.00E-01 V
#  LCR measurement frequency:          1E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               21.1 C
#  Switchcard temperature:              22.7 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	4.83974E-06	1.00000E+00	1.13472E+05	1.34967E+02	-1.47696E+05	8.71674E+01	1.07759E+02	-2.27225E-08
0.00000E+00	5.51996E-06	2.00000E+00	1.11874E+05	9.89214E+01	-1.45316E+05	1.06569E+02	1.09523E+02	-1.98048E-08
0.00000E+00	5.14666E-06	3.00000E+00	1.10101E+05	3.25908E+01	-1.42969E+05	4.88000E+01	1.11321E+02	-1.86731E-08
0.00000E+00	5.74393E-06	4.00000E+00	1.06163E+05	7.90736E+01	-1.37002E+05	3.97573E+01	1.16170E+02	-1.78019E-08
0.00000E+00	5.64439E-06	5.00000E+00	1.13866E+05	4.75117E+01	-1.48284E+05	5.45586E+01	1.07331E+02	-1.63985E-08
0.00000E+00	6.42415E-06	6.00000E+00	1.13358E+05	6.40862E+01	-1.47486E+05	9.07775E+01	1.07912E+02	-1.52207E-08
0.00000E+00	5.08028E-06	7.00000E+00	1.12441E+05	9.74076E+01	-1.46000E+05	6.61955E+01	1.09011E+02	-1.48515E-08
0.00000E+00	6.35778E-06	8.00000E+00	1.09349E+05	2.11376E+01	-1.41250E+05	8.64306E+01	1.12676E+02	-1.46417E-08
0.00000E+00	4.61573E-06	9.00000E+00	1.09292E+05	1.13410E+02	-1.40985E+05	8.66455E+01	1.12888E+02	-1.33020E-08
0.00000E+00	5.05538E-06	1.00000E+01	1.08758E+05	3.22391E+01	-1.40241E+05	5.38353E+01	1.13486E+02	-1.32973E-08
0.00000E+00	6.16698E-06	1.10000E+01	1.06736E+05	6.04496E+01	-1.37196E+05	4.63966E+01	1.16005E+02	-1.25556E-08
0.00000E+00	5.85175E-06	1.20000E+01	1.06813E+05	9.34674E+01	-1.37349E+05	7.64968E+01	1.15876E+02	-1.16942E-08
0.00000E+00	5.66925E-06	1.30000E+01	1.08584E+05	9.80836E+01	-1.39924E+05	8.02730E+01	1.13744E+02	-1.24358E-08
0.00000E+00	5.17153E-06	1.40000E+01	1.08218E+05	5.34842E+01	-1.39559E+05	3.86709E+01	1.14042E+02	-1.16573E-08
0.00000E+00	5.19643E-06	1.50000E+01	1.09535E+05	7.63387E+01	-1.41495E+05	4.73692E+01	1.12481E+02	-1.12577E-08
0.00000E+00	7.47765E-06	1.60000E+01	1.03036E+05	1.04205E+02	-1.31973E+05	3.45450E+01	1.20596E+02	-1.00946E-08
0.00000E+00	7.36979E-06	1.70000E+01	1.05195E+05	3.56404E+01	-1.35119E+05	5.42933E+01	1.17789E+02	-1.01925E-08
0.00000E+00	5.92638E-06	1.80000E+01	1.11742E+05	8.26269E+01	-1.44859E+05	3.08649E+01	1.09869E+02	-1.05028E-08
0.00000E+00	6.22503E-06	1.90000E+01	1.08760E+05	9.90139E+01	-1.40383E+05	5.56079E+01	1.13372E+02	-1.00135E-08
0.00000E+00	7.17071E-06	2.00000E+01	1.05326E+05	2.01236E+01	-1.35207E+05	2.63848E+01	1.17712E+02	-9.93837E-09
0.00000E+00	5.71901E-06	2.10000E+01	1.14303E+05	8.79236E+01	-1.48509E+05	8.75178E+01	1.07168E+02	-9.79192E-09
0.00000E+00	6.08400E-06	2.20000E+01	1.07363E+05	1.08822E+02	-1.38081E+05	2.77316E+01	1.15262E+02	-9.60706E-09
0.00000E+00	8.34865E-06	2.30000E+01	1.06226E+05	5.52471E+01	-1.36617E+05	4.28691E+01	1.16497E+02	-9.15308E-09
0.00000E+00	7.38638E-06	2.40000E+01	1.05745E+05	5.27902E+01	-1.35741E+05	1.19438E+02	1.17249E+02	-9.41557E-09
0.00000E+00	6.80572E-06	2.50000E+01	1.04358E+05	8.59139E+01	-1.33984E+05	2.82177E+01	1.18786E+02	-8.44830E-09
0.00000E+00	6.34116E-06	2.60000E+01	1.07452E+05	8.00535E+01	-1.38683E+05	4.05561E+01	1.14762E+02	-8.02770E-09
0.00000E+00	6.01763E-06	2.70000E+01	1.03343E+05	7.10397E+01	-1.32534E+05	1.13112E+02	1.20086E+02	-8.78652E-09
0.00000E+00	7.30345E-06	2.80000E+01	1.06812E+05	1.05341E+02	-1.37457E+05	7.40567E+01	1.15785E+02	-8.61288E-09
