#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.00E-01 V
#  LCR measurement frequency:          1E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               21.1 C
#  Switchcard temperature:              22.1 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
1.00000E+00	1.00001E+00	1.00000E+00	1.50884E+04	1.49666E-01	-1.25143E+03	1.28156E-01	1.27178E+04	1.99706E-05
1.00000E+00	1.00001E+00	2.00000E+00	1.50807E+04	7.48331E-02	-1.23979E+03	1.18423E-01	1.28373E+04	1.99707E-05
1.00000E+00	1.00001E+00	3.00000E+00	1.50819E+04	1.01980E-01	-1.26714E+03	7.45654E-02	1.25602E+04	1.99707E-05
1.00000E+00	1.00001E+00	4.00000E+00	1.50840E+04	6.32456E-02	-1.26617E+03	1.20433E-01	1.25698E+04	1.99707E-05
1.00000E+00	1.00001E+00	5.00000E+00	1.50743E+04	8.00000E-02	-1.22976E+03	1.42352E-01	1.29419E+04	1.99707E-05
1.00000E+00	1.00001E+00	6.00000E+00	1.50619E+04	1.16619E-01	-1.22560E+03	7.30479E-02	1.29859E+04	1.99707E-05
1.00000E+00	1.00001E+00	7.00000E+00	1.51027E+04	4.00000E-02	-1.26043E+03	1.81835E-01	1.26271E+04	1.99707E-05
1.00000E+00	1.00001E+00	8.00000E+00	1.50811E+04	9.79796E-02	-1.28305E+03	5.60000E-02	1.24044E+04	1.99707E-05
1.00000E+00	1.00001E+00	9.00000E+00	1.50883E+04	7.48331E-02	-1.27711E+03	1.26016E-01	1.24621E+04	1.99707E-05
1.00000E+00	1.00002E+00	1.00000E+01	1.51204E+04	4.00000E-02	-1.26044E+03	1.20266E-01	1.26269E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.10000E+01	1.50691E+04	1.01980E-01	-1.26055E+03	1.28748E-01	1.26258E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.20000E+01	1.50958E+04	9.79796E-02	-1.26234E+03	7.54718E-02	1.26079E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.30000E+01	1.50486E+04	1.01980E-01	-1.25381E+03	1.14787E-01	1.26937E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.40000E+01	1.50648E+04	4.89898E-02	-1.27306E+03	9.01998E-02	1.25017E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.50000E+01	1.50551E+04	1.01980E-01	-1.26991E+03	1.12071E-01	1.25328E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.60000E+01	1.50651E+04	1.01980E-01	-1.30929E+03	1.36440E-01	1.21558E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.70000E+01	1.50988E+04	1.09545E-01	-1.30076E+03	7.73046E-02	1.22356E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.80000E+01	1.50868E+04	1.01980E-01	-1.27001E+03	6.55439E-02	1.25318E+04	1.99707E-05
1.00000E+00	1.00001E+00	1.90000E+01	1.50682E+04	4.00000E-02	-1.26338E+03	5.97997E-02	1.25976E+04	1.99707E-05
1.00000E+00	1.00001E+00	2.00000E+01	1.50967E+04	7.48331E-02	-1.26431E+03	6.46838E-02	1.25883E+04	1.99707E-05
1.00000E+00	1.00001E+00	2.10000E+01	1.50819E+04	4.89898E-02	-1.23301E+03	9.93177E-02	1.29079E+04	1.99707E-05
1.00000E+00	1.00001E+00	2.20000E+01	1.50832E+04	1.16619E-01	-1.25187E+03	9.76934E-02	1.27134E+04	1.99708E-05
1.00000E+00	1.00001E+00	2.30000E+01	1.50994E+04	9.79796E-02	-1.26918E+03	5.46260E-02	1.25399E+04	1.99708E-05
1.00000E+00	1.00001E+00	2.40000E+01	1.51048E+04	7.48331E-02	-1.29155E+03	7.00286E-02	1.23227E+04	1.99708E-05
1.00000E+00	1.00001E+00	2.50000E+01	1.50725E+04	6.32456E-02	-1.29679E+03	7.39189E-02	1.22730E+04	1.99708E-05
1.00000E+00	1.00001E+00	2.60000E+01	1.50989E+04	1.32665E-01	-1.30879E+03	8.46168E-02	1.21605E+04	1.99708E-05
1.00000E+00	1.00001E+00	2.70000E+01	1.50617E+04	4.89898E-02	-1.30432E+03	8.35225E-02	1.22022E+04	1.99708E-05
1.00000E+00	1.00001E+00	2.80000E+01	1.50879E+04	1.01980E-01	-1.28558E+03	6.01332E-02	1.23800E+04	1.99708E-05
1.00000E+00	1.00001E+00	2.90000E+01	1.51240E+04	4.89898E-02	-1.29914E+03	1.02372E-01	1.22508E+04	1.99708E-05
1.00000E+00	1.00001E+00	3.00000E+01	1.50900E+04	8.94427E-02	-1.28208E+03	1.95959E-02	1.24138E+04	1.99708E-05
1.00000E+00	1.00001E+00	3.10000E+01	1.50885E+04	7.48331E-02	-1.24630E+03	3.34664E-02	1.27702E+04	1.99708E-05
1.00000E+00	1.00001E+00	3.20000E+01	1.50988E+04	6.32456E-02	-1.26408E+03	1.17745E-01	1.25906E+04	1.99708E-05
1.00000E+00	1.00001E+00	3.30000E+01	1.50712E+04	8.00000E-02	-1.24592E+03	8.84081E-02	1.27741E+04	1.99708E-05
1.00000E+00	1.00001E+00	3.40000E+01	1.50793E+04	0.00000E+00	-1.26092E+03	7.95990E-02	1.26221E+04	1.99708E-05
1.00000E+00	1.00001E+00	3.50000E+01	1.50959E+04	1.32665E-01	-1.27699E+03	1.41619E-01	1.24633E+04	1.99709E-05
1.00000E+00	1.00001E+00	3.60000E+01	1.50650E+04	7.48331E-02	-1.27922E+03	6.57267E-02	1.24416E+04	1.99709E-05
1.00000E+00	1.00001E+00	3.70000E+01	4.15242E+03	5.53260E+00	-1.21225E+05	4.44522E+00	1.31289E+02	1.99711E-05
1.00000E+00	1.00002E+00	3.80000E+01	1.50694E+04	4.00000E-02	-1.29492E+03	1.16859E-01	1.22907E+04	1.99709E-05
1.00000E+00	1.00001E+00	3.90000E+01	1.50628E+04	9.79796E-02	-1.30621E+03	8.08455E-02	1.21845E+04	1.99709E-05
1.00000E+00	1.00001E+00	4.00000E+01	1.50851E+04	6.32456E-02	-1.29413E+03	8.46168E-02	1.22982E+04	1.99709E-05
1.00000E+00	1.00001E+00	4.10000E+01	1.50817E+04	4.89898E-02	-1.26703E+03	8.93532E-02	1.25612E+04	1.99710E-05
1.00000E+00	1.00001E+00	4.20000E+01	1.51158E+04	9.79796E-02	-1.28009E+03	1.22246E-01	1.24331E+04	1.99709E-05
1.00000E+00	1.00001E+00	4.30000E+01	1.50632E+04	1.01980E-01	-1.25976E+03	7.98499E-02	1.26337E+04	1.99710E-05
1.00000E+00	1.00001E+00	4.40000E+01	1.50654E+04	4.89898E-02	-1.22663E+03	1.21557E-01	1.29750E+04	1.99710E-05
1.00000E+00	1.00001E+00	4.50000E+01	1.50685E+04	7.48331E-02	-1.22700E+03	9.32523E-02	1.29710E+04	1.99710E-05
1.00000E+00	1.00001E+00	4.60000E+01	1.50592E+04	4.00000E-02	-1.25392E+03	1.15308E-01	1.26926E+04	1.99710E-05
1.00000E+00	1.00001E+00	4.70000E+01	1.50676E+04	1.49666E-01	-1.28073E+03	3.31059E-02	1.24269E+04	1.99710E-05
1.00000E+00	1.00001E+00	4.80000E+01	1.50697E+04	4.89898E-02	-1.29478E+03	1.56205E-01	1.22920E+04	1.99710E-05
1.00000E+00	1.00001E+00	4.90000E+01	1.50974E+04	1.09545E-01	-1.31795E+03	5.03587E-02	1.20760E+04	1.99710E-05
1.00000E+00	1.00001E+00	5.00000E+01	1.50537E+04	4.89898E-02	-1.30285E+03	6.04649E-02	1.22159E+04	1.99710E-05
1.00000E+00	1.00001E+00	5.10000E+01	1.50619E+04	1.01980E-01	-1.28240E+03	7.22219E-02	1.24107E+04	1.99710E-05
1.00000E+00	1.00002E+00	5.20000E+01	1.50792E+04	1.20000E-01	-1.30103E+03	8.70862E-02	1.22330E+04	1.99710E-05
1.00000E+00	1.00001E+00	5.30000E+01	1.50779E+04	4.00000E-02	-1.27546E+03	9.52890E-02	1.24782E+04	1.99711E-05
1.00000E+00	1.00001E+00	5.40000E+01	1.50768E+04	4.89898E-02	-1.24225E+03	1.23612E-01	1.28118E+04	1.99710E-05
1.00000E+00	1.00001E+00	5.50000E+01	1.50793E+04	8.94427E-02	-1.24947E+03	1.21062E-01	1.27378E+04	1.99711E-05
1.00000E+00	1.00001E+00	5.60000E+01	1.50960E+04	9.79796E-02	-1.25323E+03	1.00678E-01	1.26996E+04	1.99711E-05
1.00000E+00	1.00001E+00	5.70000E+01	1.50455E+04	4.89898E-02	-1.24526E+03	1.02098E-01	1.27808E+04	1.99711E-05
1.00000E+00	1.00002E+00	5.80000E+01	1.50812E+04	4.00000E-02	-1.27798E+03	5.53534E-02	1.24537E+04	1.99711E-05
1.00000E+00	1.00002E+00	5.90000E+01	1.51057E+04	6.32456E-02	-1.29562E+03	3.38231E-02	1.22840E+04	1.99711E-05
1.00000E+00	1.00002E+00	6.00000E+01	1.50664E+04	8.00000E-02	-1.30547E+03	9.68710E-02	1.21914E+04	1.99711E-05
1.00000E+00	1.00002E+00	6.10000E+01	1.50536E+04	7.48331E-02	-1.29284E+03	1.01114E-01	1.23105E+04	1.99711E-05
1.00000E+00	1.00002E+00	6.20000E+01	1.50508E+04	8.00000E-02	-1.30563E+03	9.49526E-02	1.21899E+04	1.99711E-05
1.00000E+00	1.00001E+00	6.30000E+01	1.50917E+04	7.48331E-02	-1.29464E+03	1.37928E-01	1.22933E+04	1.99711E-05
1.00000E+00	1.00001E+00	6.40000E+01	1.50959E+04	8.94427E-02	-1.26796E+03	1.15308E-01	1.25520E+04	1.99711E-05
1.00000E+00	1.00001E+00	6.50000E+01	1.50743E+04	8.00000E-02	-1.26342E+03	4.28952E-02	1.25972E+04	1.99711E-05
1.00000E+00	1.00001E+00	6.60000E+01	1.50880E+04	1.16619E-01	-1.25891E+03	1.44305E-01	1.26423E+04	1.99711E-05
1.00000E+00	1.00001E+00	6.70000E+01	1.50837E+04	7.48331E-02	-1.25138E+03	1.27906E-01	1.27184E+04	1.99711E-05
1.00000E+00	1.00001E+00	6.80000E+01	1.50980E+04	7.48331E-02	-1.24032E+03	6.54217E-02	1.28318E+04	1.99712E-05
1.00000E+00	1.00002E+00	6.90000E+01	1.50479E+04	7.48331E-02	-1.25294E+03	1.49050E-01	1.27025E+04	1.99712E-05
1.00000E+00	1.00001E+00	7.00000E+01	1.51025E+04	4.89898E-02	-1.28873E+03	1.26870E-01	1.23498E+04	1.99712E-05
1.00000E+00	1.00001E+00	7.10000E+01	1.50646E+04	1.01980E-01	-1.29784E+03	1.00916E-01	1.22631E+04	1.99712E-05
1.00000E+00	1.00001E+00	7.20000E+01	1.50966E+04	4.89898E-02	-1.29915E+03	8.60233E-02	1.22507E+04	1.99712E-05
1.00000E+00	1.00001E+00	7.30000E+01	1.50402E+04	6.32456E-02	-1.30106E+03	7.47262E-02	1.22327E+04	1.99711E-05
1.00000E+00	1.00001E+00	7.40000E+01	1.50693E+04	7.48331E-02	-1.29434E+03	9.17388E-02	1.22962E+04	1.99712E-05
1.00000E+00	1.00001E+00	7.50000E+01	1.50675E+04	7.48331E-02	-1.28105E+03	1.56282E-01	1.24237E+04	1.99712E-05
1.00000E+00	1.00002E+00	7.60000E+01	1.50657E+04	4.00000E-02	-1.27429E+03	3.63318E-02	1.24897E+04	1.99712E-05
1.00000E+00	1.00002E+00	7.70000E+01	1.51407E+04	8.94427E-02	-1.25223E+03	7.81281E-02	1.27097E+04	1.99712E-05
1.00000E+00	1.00002E+00	7.80000E+01	1.50916E+04	9.79796E-02	-1.24337E+03	9.14330E-02	1.28003E+04	1.99712E-05
1.00000E+00	1.00002E+00	7.90000E+01	1.50713E+04	6.32456E-02	-1.23750E+03	1.34224E-01	1.28610E+04	1.99713E-05
1.00000E+00	1.00001E+00	8.00000E+01	1.50630E+04	6.32456E-02	-1.24633E+03	4.87442E-02	1.27699E+04	1.99712E-05
1.00000E+00	1.00002E+00	8.10000E+01	1.50774E+04	8.00000E-02	-1.24642E+03	7.78203E-02	1.27689E+04	1.99713E-05
1.00000E+00	1.00001E+00	8.20000E+01	1.50649E+04	8.00000E-02	-1.28017E+03	7.65245E-02	1.24323E+04	1.99712E-05
