#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               22.7 C
#  Switchcard temperature:              23.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Channel [-]	R [kOhm]	X [kOhm]
# 
1	1.29366E+04	-5.09260E+03
2	1.29606E+04	-5.06018E+03
3	1.28821E+04	-5.13892E+03
4	1.28856E+04	-5.13305E+03
5	1.29853E+04	-5.03148E+03
6	1.29835E+04	-5.01765E+03
7	1.29234E+04	-5.11992E+03
8	1.28344E+04	-5.17903E+03
9	1.28605E+04	-5.16207E+03
1	1.29465E+04	-5.12166E+03
11	1.28855E+04	-5.11440E+03
12	1.29085E+04	-5.12119E+03
13	1.28846E+04	-5.09359E+03
14	1.28469E+04	-5.15035E+03
15	1.28440E+04	-5.13930E+03
16	1.27372E+04	-5.24717E+03
17	1.28004E+04	-5.22879E+03
18	1.28798E+04	-5.14543E+03
19	1.28792E+04	-5.12402E+03
20	1.29047E+04	-5.12769E+03
21	1.29814E+04	-5.04040E+03
22	1.29298E+04	-5.09202E+03
23	1.28943E+04	-5.14306E+03
24	1.28332E+04	-5.20460E+03
25	1.27820E+04	-5.21556E+03
26	1.27760E+04	-5.24897E+03
27	1.27464E+04	-5.23320E+03
28	1.28356E+04	-5.18670E+03
29	1.28322E+04	-5.22872E+03
30	1.28462E+04	-5.17896E+03
31	1.29529E+04	-5.08152E+03
32	1.29103E+04	-5.12942E+03
33	1.29306E+04	-5.07528E+03
34	1.28969E+04	-5.11558E+03
35	1.28703E+04	-5.16604E+03
36	1.28279E+04	-5.16694E+03
37	1.27606E+04	-5.23915E+03
38	1.27862E+04	-5.21085E+03
39	1.27455E+04	-5.23851E+03
40	1.28055E+04	-5.20777E+03
41	1.28837E+04	-5.13689E+03
42	1.28788E+04	-5.17539E+03
43	1.28830E+04	-5.11299E+03
44	1.29837E+04	-5.02223E+03
45	1.29868E+04	-5.02341E+03
46	1.28979E+04	-5.09584E+03
47	1.28275E+04	-5.17268E+03
48	1.27872E+04	-5.20728E+03
49	1.27459E+04	-5.27282E+03
50	1.27429E+04	-5.22888E+03
