# Single CRV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      5.00E-06 A
# LCR measurement voltage:         1.00E+00 V
# LCR measurement frequency:       1.00E+06 Hz
# Voltage Delay:                      10.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-2.00000E+01	-1.99984E+01	1.00000E+06	1.60067E-01	1.43020E-03	-3.95964E+03	3.22490E-03	4.01943E-11	4.01943E-11	1.80936E-11
-3.00000E+01	-2.99510E+01	1.00000E+06	1.67903E-01	2.07822E-03	-3.95965E+03	2.09762E-03	4.01942E-11	4.01942E-11	2.09442E-10
-4.00000E+01	-3.99415E+01	1.00000E+06	1.80793E-01	1.84855E-03	-3.95966E+03	4.73286E-03	4.01941E-11	4.01941E-11	3.26868E-10
-5.00000E+01	-4.99539E+01	1.00000E+06	1.67051E-01	1.40449E-03	-3.95965E+03	4.28952E-03	4.01942E-11	4.01942E-11	5.08461E-10
-6.00000E+01	-5.99696E+01	1.00000E+06	1.61243E-01	1.71183E-03	-3.95966E+03	2.91548E-03	4.01941E-11	4.01941E-11	2.37100E-10
-7.00000E+01	-6.99635E+01	1.00000E+06	1.79707E-01	1.46116E-03	-3.95966E+03	3.68782E-03	4.01941E-11	4.01941E-11	1.96765E-10
-8.00000E+01	-7.99721E+01	1.00000E+06	1.81445E-01	1.75977E-03	-3.95965E+03	3.52136E-03	4.01942E-11	4.01942E-11	2.86655E-10
-9.00000E+01	-8.99569E+01	1.00000E+06	1.89680E-01	1.21654E-03	-3.95966E+03	2.89828E-03	4.01941E-11	4.01941E-11	3.38515E-10
-1.00000E+02	-9.99646E+01	1.00000E+06	1.80972E-01	1.64079E-03	-3.95966E+03	1.89737E-03	4.01941E-11	4.01941E-11	4.28982E-10
-1.10000E+02	-1.09943E+02	1.00000E+06	1.87639E-01	2.30182E-03	-3.95966E+03	2.52982E-03	4.01941E-11	4.01941E-11	4.62731E-10
-1.20000E+02	-1.19950E+02	1.00000E+06	1.87813E-01	1.17968E-03	-3.95966E+03	2.62679E-03	4.01941E-11	4.01941E-11	3.53085E-10
-1.30000E+02	-1.29937E+02	1.00000E+06	1.92078E-01	1.05428E-03	-3.95966E+03	3.47851E-03	4.01941E-11	4.01941E-11	2.34548E-10
-1.40000E+02	-1.39941E+02	1.00000E+06	1.90393E-01	2.10536E-03	-3.95967E+03	3.47851E-03	4.01940E-11	4.01940E-11	2.47307E-10
-1.50000E+02	-1.49932E+02	1.00000E+06	1.86543E-01	1.00831E-03	-3.95967E+03	3.09839E-03	4.01940E-11	4.01940E-11	4.81992E-10
