			pt1000 - external - setpoint - internal
2021-11-10 08:45:28:	18.87	18.29	-20.00	16.84
2021-11-10 08:45:50:	18.90	18.32	-20.00	17.04
2021-11-10 08:46:10:	18.93	18.35	-20.00	17.10
2021-11-10 08:46:31:	18.96	18.38	-20.00	17.16
2021-11-10 08:46:52:	18.99	18.42	-20.00	17.23
2021-11-10 08:47:13:	19.03	18.45	-20.00	17.29
2021-11-10 08:47:33:	19.07	18.49	-20.00	17.35
2021-11-10 08:47:54:	19.11	18.53	-20.00	17.40
2021-11-10 08:48:14:	19.14	18.58	-20.00	17.46
2021-11-10 08:48:36:	19.19	18.63	-20.00	17.48
2021-11-10 08:48:56:	19.23	18.69	-20.00	17.49
2021-11-10 08:49:17:	19.28	18.74	-20.00	17.44
2021-11-10 08:49:38:	19.32	18.78	-20.00	16.76
2021-11-10 08:49:58:	19.35	18.81	-20.00	16.80
2021-11-10 08:50:19:	19.36	18.80	-20.00	16.97
2021-11-10 08:50:40:	19.37	18.80	-20.00	17.00
2021-11-10 08:51:00:	19.37	18.77	-20.00	16.92
2021-11-10 08:51:21:	19.36	18.77	-19.00	15.99
2021-11-10 08:51:42:	19.35	18.76	-19.00	16.35

 END: Keyboard Interrupt (or some other exception)

