			pt1000 - external - setpoint - internal
2022-03-04 18:28:53:	24.64	0.00	0.00	0.00
2022-03-04 18:29:12:	24.68	0.00	0.00	0.00
2022-03-04 18:29:30:	24.68	0.00	0.00	0.00
2022-03-04 18:29:48:	24.69	0.00	0.00	0.00
2022-03-04 18:30:07:	24.69	0.00	0.00	0.00
2022-03-04 18:30:25:	24.69	0.00	0.00	0.00
2022-03-04 18:30:44:	24.70	0.00	0.00	0.00
2022-03-04 18:31:02:	24.71	0.00	0.00	0.00
2022-03-04 18:31:20:	24.71	0.00	0.00	0.00
2022-03-04 18:31:39:	24.71	0.00	0.00	0.00
2022-03-04 18:31:57:	24.70	0.00	0.00	0.00
2022-03-04 18:32:15:	24.70	0.00	0.00	0.00
2022-03-04 18:32:33:	24.71	0.00	0.00	0.00
2022-03-04 18:32:51:	24.72	0.00	0.00	0.00
2022-03-04 18:33:09:	24.73	0.00	0.00	0.00
2022-03-04 18:33:27:	24.74	0.00	0.00	0.00

 END: Keyboard Interrupt (or some other exception)

