# CV Sweep
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       5.00 s
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-2.00000E+01	-1.99991E+01	1.00000E+03	3.23471E+04	1.33030E+03	-1.60243E+06	1.41404E+03	9.93212E-11	9.92807E-11	-9.04634E-09
-3.00000E+01	-2.99841E+01	1.00000E+03	4.46087E+04	1.41625E+03	-1.75976E+06	1.90537E+03	9.04412E-11	9.03831E-11	-4.68886E-05
-4.00000E+01	-3.99755E+01	1.00000E+03	5.81656E+04	1.65087E+03	-1.87255E+06	9.72582E+02	8.49938E-11	8.49119E-11	-1.99887E-08
-5.00000E+01	-4.99793E+01	1.00000E+03	7.82645E+04	1.06419E+03	-1.95723E+06	1.63125E+03	8.13165E-11	8.11867E-11	-4.70858E-05
-6.00000E+01	-5.99942E+01	1.00000E+03	9.28425E+04	1.23330E+03	-2.03523E+06	1.06763E+03	7.81999E-11	7.80375E-11	-2.19274E-08
-7.00000E+01	-6.99809E+01	1.00000E+03	1.10589E+05	1.78665E+03	-2.10227E+06	1.65453E+03	7.57061E-11	7.54972E-11	-4.70397E-05
-8.00000E+01	-7.99983E+01	1.00000E+03	1.20589E+05	1.98692E+03	-2.16719E+06	1.13168E+03	7.34384E-11	7.32117E-11	-2.95081E-08
-9.00000E+01	-8.99822E+01	1.00000E+03	1.29064E+05	8.95111E+02	-2.22557E+06	1.60513E+03	7.15119E-11	7.12722E-11	-4.71236E-05
-1.00000E+02	-9.99994E+01	1.00000E+03	1.32725E+05	2.10894E+03	-2.28026E+06	2.43664E+03	6.97969E-11	6.95612E-11	-2.58161E-08
-1.10000E+02	-1.09976E+02	1.00000E+03	1.34738E+05	1.66311E+03	-2.32944E+06	1.06486E+03	6.83233E-11	6.80954E-11	-4.71943E-05
-1.20000E+02	-1.19994E+02	1.00000E+03	1.29188E+05	1.89010E+03	-2.37814E+06	1.73976E+03	6.69240E-11	6.67271E-11	-3.54900E-08
-1.30000E+02	-1.29978E+02	1.00000E+03	1.22981E+05	1.43432E+03	-2.41791E+06	1.55878E+03	6.58234E-11	6.56536E-11	-4.73956E-05
-1.40000E+02	-1.39992E+02	1.00000E+03	1.20106E+05	1.89183E+03	-2.43862E+06	1.14191E+03	6.52643E-11	6.51063E-11	-4.35276E-08
-1.50000E+02	-1.49978E+02	1.00000E+03	1.07680E+05	2.60800E+03	-2.45481E+06	2.11183E+03	6.48339E-11	6.47094E-11	-4.75722E-05
-1.60000E+02	-1.59996E+02	1.00000E+03	9.89097E+04	2.01830E+03	-2.46778E+06	1.00599E+03	6.44932E-11	6.43897E-11	-5.00594E-08
-1.70000E+02	-1.69982E+02	1.00000E+03	9.22554E+04	2.74169E+03	-2.47711E+06	1.65749E+03	6.42504E-11	6.41614E-11	-4.76540E-05
-1.80000E+02	-1.79998E+02	1.00000E+03	7.97779E+04	1.54068E+03	-2.48496E+06	2.32483E+03	6.40474E-11	6.39815E-11	-5.55991E-08
-1.90000E+02	-1.89977E+02	1.00000E+03	7.46677E+04	2.31572E+03	-2.49194E+06	9.79465E+02	6.38678E-11	6.38105E-11	-4.76739E-05
-2.00000E+02	-1.99994E+02	1.00000E+03	6.78904E+04	1.82500E+03	-2.49713E+06	2.01057E+03	6.37352E-11	6.36881E-11	-5.70966E-08
-2.10000E+02	-2.09978E+02	1.00000E+03	5.73234E+04	1.48137E+03	-2.50188E+06	2.60600E+03	6.36142E-11	6.35809E-11	-4.77070E-05
-2.20000E+02	-2.19994E+02	1.00000E+03	4.86807E+04	1.81609E+03	-2.50137E+06	2.43426E+03	6.36271E-11	6.36030E-11	-5.07006E-08
-2.30000E+02	-2.29980E+02	1.00000E+03	4.43060E+04	2.19636E+03	-2.50700E+06	1.96333E+03	6.34841E-11	6.34643E-11	-4.76117E-05
-2.40000E+02	-2.39996E+02	1.00000E+03	4.18163E+04	2.36194E+03	-2.50671E+06	2.01152E+03	6.34915E-11	6.34739E-11	-4.47966E-08
-2.50000E+02	-2.50003E+02	1.00000E+03	3.68069E+04	1.68925E+03	-2.51003E+06	1.81298E+03	6.34075E-11	6.33939E-11	-4.76794E-05
-2.60000E+02	-2.60000E+02	1.00000E+03	2.87396E+04	2.06504E+03	-2.51116E+06	1.45055E+03	6.33792E-11	6.33709E-11	-4.55745E-08
-2.70000E+02	-2.69998E+02	1.00000E+03	2.92786E+04	2.13116E+03	-2.51194E+06	1.83604E+03	6.33593E-11	6.33507E-11	-4.75911E-05
-2.80000E+02	-2.79997E+02	1.00000E+03	2.31045E+04	2.06505E+03	-2.51182E+06	1.34031E+03	6.33624E-11	6.33571E-11	-4.50958E-08
-2.90000E+02	-2.90000E+02	1.00000E+03	1.75091E+04	1.62524E+03	-2.51185E+06	1.47528E+03	6.33616E-11	6.33586E-11	-4.76107E-05
-3.00000E+02	-3.00001E+02	1.00000E+03	1.43776E+04	1.84122E+03	-2.51097E+06	1.76914E+03	6.33838E-11	6.33818E-11	-4.04205E-08
-3.10000E+02	-3.10004E+02	1.00000E+03	1.74740E+04	2.23864E+03	-2.51198E+06	2.19557E+03	6.33583E-11	6.33552E-11	-4.76317E-05
-3.20000E+02	-3.20003E+02	1.00000E+03	1.45470E+04	1.94484E+03	-2.50962E+06	1.96493E+03	6.34179E-11	6.34158E-11	-4.83092E-08
-3.30000E+02	-3.30005E+02	1.00000E+03	1.19821E+04	2.05965E+03	-2.51231E+06	1.72390E+03	6.33500E-11	6.33486E-11	-4.76105E-05
-3.40000E+02	-3.40000E+02	1.00000E+03	9.42557E+03	2.81727E+03	-2.51132E+06	1.87774E+03	6.33750E-11	6.33741E-11	-4.58939E-08
-3.50000E+02	-3.50001E+02	1.00000E+03	1.00127E+04	2.08069E+03	-2.51258E+06	1.79137E+03	6.33431E-11	6.33421E-11	-4.76471E-05
-3.60000E+02	-3.60003E+02	1.00000E+03	8.82091E+03	1.98972E+03	-2.51480E+06	1.22793E+03	6.32874E-11	6.32866E-11	-4.16830E-08
-3.70000E+02	-3.70003E+02	1.00000E+03	6.15038E+03	1.24781E+03	-2.51167E+06	1.96469E+03	6.33663E-11	6.33659E-11	-4.76936E-05
-3.80000E+02	-3.80002E+02	1.00000E+03	4.85323E+03	1.69182E+03	-2.51303E+06	1.22337E+03	6.33319E-11	6.33317E-11	-4.49955E-08
-3.90000E+02	-3.90005E+02	1.00000E+03	2.96010E+03	8.64479E+02	-2.51095E+06	7.97151E+02	6.33843E-11	6.33842E-11	-4.77023E-05
-4.00000E+02	-4.00005E+02	1.00000E+03	3.96958E+03	1.65506E+03	-2.51246E+06	1.48905E+03	6.33461E-11	6.33460E-11	-5.28733E-08
-4.10000E+02	-4.10005E+02	1.00000E+03	4.22828E+03	1.78639E+03	-2.51341E+06	2.23938E+03	6.33222E-11	6.33220E-11	-4.77403E-05
-4.20000E+02	-4.19999E+02	1.00000E+03	3.73250E+03	1.63034E+03	-2.50943E+06	1.52321E+03	6.34227E-11	6.34225E-11	-4.85760E-08
