# CV Sweep
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       5.00 s
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-2.00000E+01	-1.99991E+01	1.00000E+03	3.46828E+04	6.77223E+02	-1.60105E+06	5.90526E+02	9.94064E-11	9.93597E-11	-9.53801E-09
-3.00000E+01	-2.99822E+01	1.00000E+03	5.18910E+04	1.05950E+03	-1.74604E+06	2.20264E+03	9.11517E-11	9.10712E-11	-4.68619E-05
-4.00000E+01	-3.99762E+01	1.00000E+03	6.54937E+04	8.29885E+02	-1.86972E+06	5.54663E+02	8.51226E-11	8.50183E-11	-1.87175E-08
-5.00000E+01	-4.99799E+01	1.00000E+03	8.61832E+04	1.13240E+03	-1.95220E+06	1.82150E+03	8.15261E-11	8.13675E-11	-4.70941E-05
-6.00000E+01	-5.99960E+01	1.00000E+03	9.87905E+04	1.27475E+03	-2.03982E+06	8.29917E+02	7.80240E-11	7.78414E-11	-1.83718E-08
-7.00000E+01	-6.99798E+01	1.00000E+03	1.17446E+05	2.23327E+03	-2.10487E+06	1.83362E+03	7.56126E-11	7.53779E-11	-4.70312E-05
-8.00000E+01	-7.99964E+01	1.00000E+03	1.25335E+05	9.89573E+02	-2.17438E+06	1.23941E+03	7.31954E-11	7.29530E-11	-2.70462E-08
-9.00000E+01	-8.99819E+01	1.00000E+03	1.36484E+05	1.30398E+03	-2.22756E+06	1.47294E+03	7.14480E-11	7.11808E-11	-4.71445E-05
-1.00000E+02	-9.99990E+01	1.00000E+03	1.32330E+05	7.83827E+02	-2.28834E+06	1.00416E+03	6.95504E-11	6.93186E-11	-2.94940E-08
-1.10000E+02	-1.09976E+02	1.00000E+03	1.38309E+05	1.38419E+03	-2.33599E+06	1.32040E+03	6.81317E-11	6.78937E-11	-4.72409E-05
-1.20000E+02	-1.19993E+02	1.00000E+03	1.29717E+05	1.15631E+03	-2.38611E+06	1.21967E+03	6.67006E-11	6.65041E-11	-3.20325E-08
-1.30000E+02	-1.29976E+02	1.00000E+03	1.28661E+05	1.76716E+03	-2.42231E+06	1.50531E+03	6.57037E-11	6.55189E-11	-4.74195E-05
-1.40000E+02	-1.39990E+02	1.00000E+03	1.13458E+05	7.09410E+02	-2.44588E+06	8.80231E+02	6.50708E-11	6.49310E-11	-4.22305E-08
-1.50000E+02	-1.49977E+02	1.00000E+03	1.16480E+05	2.69287E+03	-2.45848E+06	9.09919E+02	6.47371E-11	6.45921E-11	-4.76203E-05
-1.60000E+02	-1.59995E+02	1.00000E+03	9.50769E+04	1.09680E+03	-2.47417E+06	1.21889E+03	6.43265E-11	6.42317E-11	-5.36765E-08
-1.70000E+02	-1.69979E+02	1.00000E+03	9.40097E+04	2.09849E+03	-2.48006E+06	1.20702E+03	6.41740E-11	6.40819E-11	-4.77488E-05
-1.80000E+02	-1.79998E+02	1.00000E+03	7.64836E+04	1.00373E+03	-2.49004E+06	1.67230E+03	6.39167E-11	6.38565E-11	-6.08319E-08
-1.90000E+02	-1.89976E+02	1.00000E+03	7.32605E+04	1.62186E+03	-2.49602E+06	9.69640E+02	6.37636E-11	6.37087E-11	-4.78023E-05
-2.00000E+02	-1.99993E+02	1.00000E+03	6.54796E+04	1.47954E+03	-2.49686E+06	1.38857E+03	6.37421E-11	6.36983E-11	-6.44619E-08
-2.10000E+02	-2.09976E+02	1.00000E+03	5.82959E+04	1.75879E+03	-2.50074E+06	1.66010E+03	6.36432E-11	6.36086E-11	-4.78098E-05
-2.20000E+02	-2.19994E+02	1.00000E+03	5.04424E+04	1.75422E+03	-2.50522E+06	1.23227E+03	6.35294E-11	6.35036E-11	-5.45396E-08
-2.30000E+02	-2.29979E+02	1.00000E+03	4.69747E+04	1.99222E+03	-2.50499E+06	8.36594E+02	6.35351E-11	6.35128E-11	-4.77178E-05
-2.40000E+02	-2.39998E+02	1.00000E+03	4.01465E+04	1.35266E+03	-2.51049E+06	1.01070E+03	6.33959E-11	6.33797E-11	-5.29406E-08
-2.50000E+02	-2.50002E+02	1.00000E+03	3.95762E+04	1.76022E+03	-2.50656E+06	1.65303E+03	6.34954E-11	6.34795E-11	-4.77568E-05
-2.60000E+02	-2.60001E+02	1.00000E+03	2.95609E+04	1.37878E+03	-2.51047E+06	1.10112E+03	6.33964E-11	6.33876E-11	-5.04515E-08
-2.70000E+02	-2.69997E+02	1.00000E+03	2.80551E+04	1.82901E+03	-2.51063E+06	8.38278E+02	6.33925E-11	6.33846E-11	-4.76610E-05
-2.80000E+02	-2.79995E+02	1.00000E+03	2.11584E+04	1.64961E+03	-2.51385E+06	1.33996E+03	6.33113E-11	6.33068E-11	-5.06213E-08
-2.90000E+02	-2.89999E+02	1.00000E+03	2.59933E+04	2.39288E+03	-2.50990E+06	1.47249E+03	6.34108E-11	6.34040E-11	-4.76827E-05
